ply 1: 20 first moves
p2_g2g3_b8c6: draw nodes=1474560 censored=True wall=9.202
p2_g2g3_g8f6: draw nodes=1503232 censored=True wall=9.223
p2_g2g3_g8h6: draw nodes=1527808 censored=True wall=9.236
[ply2 after g2g3: 20 replies; 273 runs, 2295s]
p1_g2g4: draw nodes=1552384 censored=True wall=9.23
p2_g2g4_a7a6: draw nodes=1568768 censored=True wall=9.274
p2_g2g4_a7a5: draw nodes=1527808 censored=True wall=9.229
p2_g2g4_b7b6: draw nodes=1552384 censored=True wall=9.259
p2_g2g4_b7b5: draw nodes=1527808 censored=True wall=9.241
p2_g2g4_c7c6: draw nodes=1499136 censored=True wall=9.211
p2_g2g4_c7c5: draw nodes=1556480 censored=True wall=9.246
p2_g2g4_d7d6: draw nodes=1486848 censored=True wall=9.219
p2_g2g4_d7d5: draw nodes=1372160 censored=True wall=9.132
p2_g2g4_e7e6: draw nodes=1536000 censored=True wall=9.224
p2_g2g4_e7e5: draw nodes=1519616 censored=True wall=9.214
p2_g2g4_f7f6: draw nodes=1589248 censored=True wall=9.314
p2_g2g4_f7f5: draw nodes=1499136 censored=True wall=9.237
p2_g2g4_g7g6: draw nodes=1560576 censored=True wall=9.281
p2_g2g4_g7g5: draw nodes=1507328 censored=True wall=9.231
p2_g2g4_h7h6: draw nodes=1552384 censored=True wall=9.233
p2_g2g4_h7h5: draw nodes=1523712 censored=True wall=9.248
p2_g2g4_b8a6: draw nodes=1568768 censored=True wall=9.259
p2_g2g4_b8c6: draw nodes=1499136 censored=True wall=9.256
p2_g2g4_g8f6: draw nodes=1490944 censored=True wall=9.263
p2_g2g4_g8h6: draw nodes=1540096 censored=True wall=9.276
[ply2 after g2g4: 20 replies; 294 runs, 2489s]
p1_h2h3: draw nodes=1536000 censored=True wall=9.3
p2_h2h3_a7a6: draw nodes=1507328 censored=True wall=9.425
p2_h2h3_a7a5: draw nodes=1470464 censored=True wall=9.238
p2_h2h3_b7b6: draw nodes=1495040 censored=True wall=9.187
p2_h2h3_b7b5: draw nodes=1490944 censored=True wall=9.196
p2_h2h3_c7c6: draw nodes=1548288 censored=True wall=9.204
p2_h2h3_c7c5: draw nodes=1568768 censored=True wall=9.211
p2_h2h3_d7d6: draw nodes=1499136 censored=True wall=9.177
p2_h2h3_d7d5: draw nodes=1458176 censored=True wall=9.154
p2_h2h3_e7e6: draw nodes=1531904 censored=True wall=9.206
p2_h2h3_e7e5: draw nodes=1503232 censored=True wall=9.189
p2_h2h3_f7f6: draw nodes=1544192 censored=True wall=9.263
p2_h2h3_f7f5: draw nodes=1495040 censored=True wall=9.228
p2_h2h3_g7g6: draw nodes=1564672 censored=True wall=9.259
p2_h2h3_g7g5: draw nodes=1523712 censored=True wall=9.239
p2_h2h3_h7h6: draw nodes=1564672 censored=True wall=9.175
p2_h2h3_h7h5: draw nodes=1568768 censored=True wall=9.246
p2_h2h3_b8a6: draw nodes=1544192 censored=True wall=9.216
p2_h2h3_b8c6: draw nodes=1536000 censored=True wall=9.192
p2_h2h3_g8f6: draw nodes=1519616 censored=True wall=9.219
p2_h2h3_g8h6: draw nodes=1503232 censored=True wall=9.162
[ply2 after h2h3: 20 replies; 315 runs, 2683s]
p1_h2h4: draw nodes=1581056 censored=True wall=9.244
p2_h2h4_a7a6: draw nodes=1556480 censored=True wall=9.212
p2_h2h4_a7a5: draw nodes=1515520 censored=True wall=9.243
p2_h2h4_b7b6: draw nodes=1507328 censored=True wall=9.195
p2_h2h4_b7b5: draw nodes=1544192 censored=True wall=9.264
p2_h2h4_c7c6: draw nodes=1548288 censored=True wall=9.246
p2_h2h4_c7c5: draw nodes=1531904 censored=True wall=9.215
p2_h2h4_d7d6: draw nodes=1482752 censored=True wall=9.174
p2_h2h4_d7d5: draw nodes=1486848 censored=True wall=9.211
p2_h2h4_e7e6: draw nodes=1495040 censored=True wall=9.159
p2_h2h4_e7e5: draw nodes=1421312 censored=True wall=9.121
p2_h2h4_f7f6: draw nodes=1560576 censored=True wall=9.237
p2_h2h4_f7f5: draw nodes=1552384 censored=True wall=9.27
p2_h2h4_g7g6: draw nodes=1556480 censored=True wall=9.239
p2_h2h4_g7g5: draw nodes=1540096 censored=True wall=9.238
p2_h2h4_h7h6: draw nodes=1552384 censored=True wall=9.232
p2_h2h4_h7h5: draw nodes=1593344 censored=True wall=9.255
p2_h2h4_b8a6: draw nodes=1536000 censored=True wall=9.215
p2_h2h4_b8c6: draw nodes=1515520 censored=True wall=9.222
p2_h2h4_g8f6: draw nodes=1527808 censored=True wall=9.236
p2_h2h4_g8h6: draw nodes=1441792 censored=True wall=9.179
[ply2 after h2h4: 20 replies; 336 runs, 2877s]
p1_b1a3: draw nodes=1531904 censored=True wall=9.192
p2_b1a3_a7a6: draw nodes=1556480 censored=True wall=9.2
p2_b1a3_a7a5: draw nodes=1540096 censored=True wall=9.19
p2_b1a3_b7b6: draw nodes=1540096 censored=True wall=9.187
p2_b1a3_b7b5: draw nodes=1568768 censored=True wall=9.248
p2_b1a3_c7c6: draw nodes=1581056 censored=True wall=9.232
p2_b1a3_c7c5: draw nodes=1564672 censored=True wall=9.209
p2_b1a3_d7d6: draw nodes=1507328 censored=True wall=9.19
p2_b1a3_d7d5: draw nodes=1503232 censored=True wall=9.2
p2_b1a3_e7e6: draw nodes=1495040 censored=True wall=9.187
p2_b1a3_e7e5: draw nodes=1482752 censored=True wall=9.133
p2_b1a3_f7f6: draw nodes=1564672 censored=True wall=9.227
p2_b1a3_f7f5: draw nodes=1548288 censored=True wall=9.213
p2_b1a3_g7g6: draw nodes=1589248 censored=True wall=9.247
p2_b1a3_g7g5: draw nodes=1617920 censored=True wall=9.279
p2_b1a3_h7h6: draw nodes=1593344 censored=True wall=9.228
p2_b1a3_h7h5: draw nodes=1585152 censored=True wall=9.261
p2_b1a3_b8a6: draw nodes=1548288 censored=True wall=9.208
p2_b1a3_b8c6: draw nodes=1531904 censored=True wall=9.21
p2_b1a3_g8f6: draw nodes=1552384 censored=True wall=9.237
p2_b1a3_g8h6: draw nodes=1581056 censored=True wall=9.253
[ply2 after b1a3: 20 replies; 357 runs, 3070s]
p1_b1c3: draw nodes=1531904 censored=True wall=9.212
p2_b1c3_a7a6: draw nodes=1523712 censored=True wall=9.229
p2_b1c3_a7a5: draw nodes=1474560 censored=True wall=9.189
p2_b1c3_b7b6: draw nodes=1474560 censored=True wall=9.174
p2_b1c3_b7b5: draw nodes=1519616 censored=True wall=9.244
p2_b1c3_c7c6: draw nodes=1499136 censored=True wall=9.293
p2_b1c3_c7c5: draw nodes=1429504 censored=True wall=9.147
p2_b1c3_d7d6: draw nodes=1499136 censored=True wall=9.179
p2_b1c3_d7d5: draw nodes=1392640 censored=True wall=9.121
p2_b1c3_e7e6: draw nodes=1466368 censored=True wall=9.138
p2_b1c3_e7e5: draw nodes=1429504 censored=True wall=9.135
p2_b1c3_f7f6: draw nodes=1372160 censored=True wall=9.1
p2_b1c3_f7f5: draw nodes=1523712 censored=True wall=9.228
p2_b1c3_g7g6: draw nodes=1564672 censored=True wall=9.231
p2_b1c3_g7g5: draw nodes=1548288 censored=True wall=9.235
p2_b1c3_h7h6: draw nodes=1531904 censored=True wall=9.213
p2_b1c3_h7h5: draw nodes=1490944 censored=True wall=9.172
p2_b1c3_b8a6: draw nodes=1478656 censored=True wall=9.176
p2_b1c3_b8c6: draw nodes=1495040 censored=True wall=9.176
p2_b1c3_g8f6: draw nodes=1536000 censored=True wall=9.21
p2_b1c3_g8h6: draw nodes=1523712 censored=True wall=9.215
[ply2 after b1c3: 20 replies; 378 runs, 3264s]
p1_g1f3: draw nodes=1552384 censored=True wall=9.241
p2_g1f3_a7a6: win nodes=82 censored=False wall=0.027
p2_g1f3_a7a5: win nodes=85 censored=False wall=0.027
p2_g1f3_b7b6: win nodes=86 censored=False wall=0.026
p2_g1f3_b7b5: win nodes=86 censored=False wall=0.027
p2_g1f3_c7c6: win nodes=86 censored=False wall=0.027
p2_g1f3_c7c5: win nodes=133 censored=False wall=0.028
p2_g1f3_d7d6: draw nodes=1560576 censored=True wall=9.249
p2_g1f3_d7d5: win nodes=194 censored=False wall=0.026
p2_g1f3_e7e6: win nodes=203 censored=False wall=0.029
p2_g1f3_e7e5: draw nodes=1425408 censored=True wall=9.124
p2_g1f3_f7f6: draw nodes=1589248 censored=True wall=9.244
p2_g1f3_f7f5: win nodes=179 censored=False wall=0.028
p2_g1f3_g7g6: win nodes=86 censored=False wall=0.027
p2_g1f3_g7g5: win nodes=126 censored=False wall=0.027
p2_g1f3_h7h6: win nodes=82 censored=False wall=0.026
p2_g1f3_h7h5: win nodes=86 censored=False wall=0.027
p2_g1f3_b8a6: win nodes=84 censored=False wall=0.028
p2_g1f3_b8c6: win nodes=3124 censored=False wall=0.042
p2_g1f3_g8f6: win nodes=88 censored=False wall=0.026
p2_g1f3_g8h6: win nodes=84 censored=False wall=0.026
[ply2 after g1f3: 20 replies; 399 runs, 3301s]
p1_g1h3: draw nodes=1581056 censored=True wall=9.292
p2_g1h3_a7a6: win nodes=1762 censored=False wall=0.037
